"Name","Unmodelled (BP)",,,,,,"Modelled (BP)",,,,,,"Indices
Amodel 934.8
Aoverall 674.7",
,"from","to","%","from","to","%","from","to","%","from","to","%","Acomb","A","L","P","C",
"Curve IntCal20",,,,,,,,,,,,,,,,,,
"Sequence",,,,,,,,,,,,,,,,,,
"R_Date KIA-38505","10275","10195","68.26895","10380","10180","95.449974","10250","10230","68.268949","10255","10220","95.449974",,176,,,99.9,
"R_Date GrA-13513","10275","10190","68.268949","10405","10170","95.44997400000001","10245","10225","68.268949","10250","10220","95.449974",,171.6,,,99.9,
"R_Date UtC-9223","10295","10185","68.268949","10490","9970","95.44997399999998","10245","10225","68.268949","10250","10215","95.449974",,185.2,,,100,
"R_Date UtC-4917","10275","10190","68.268949","10405","10170","95.44997400000001","10240","10220","68.268949","10245","10210","95.449974",,165.9,,,99.9,
"R_Date UtC-9419","10365","10170","68.26895","10495","9960","95.44997400000001","10235","10220","68.268949","10245","10210","95.449974",,189.7,,,99.9,
"R_Date Poz-30612","10250","10190","68.268949","10380","10155","95.449974","10235","10215","68.268949","10240","10205","95.449974",,147.9,,,99.9,
"R_Date UtC-8397","10245","10200","68.268949","10290","10175","95.449974","10230","10210","68.268949","10235","10205","95.449974",,122.4,,,99.9,
"R_Date UtC-9418","10335","10160","68.26894899999999","10485","9915","95.449974","10225","10205","68.268949","10235","10200","95.449974",,182.6,,,99.8,
"R_Date KIA-17612","10245","10195","68.268949","10335","10155","95.44997400000001","10225","10205","68.268949","10230","10195","95.449974",,122,,,99.8,
"R_Date UtC-9456","10290","9965","68.268949","10480","9910","95.449974","10220","10200","68.268949","10225","10190","95.449974",,180.2,,,99.8,
"R_Date Poz-30613","10245","10190","68.268949","10370","9960","95.44997299999999","10215","10195","68.268949","10225","10190","95.449974",,126.1,,,99.9,
"R_Date UtC-9228","10245","9965","68.268949","10290","9910","95.449974","10210","10190","68.268949","10220","10185","95.449974",,167.5,,,99.9,
"R_Date KIA-17631","10240","10170","68.268949","10255","9920","95.44997400000001","10205","10185","68.268949","10215","10180","95.449974",,141.4,,,99.9,
"R_Date UtC-8395","10235","10180","68.268949","10250","9960","95.44997400000001","10205","10185","68.268949","10215","10175","95.449974",,117.7,,,100,
"R_Date KIA-38499","10235","10175","68.268949","10245","9930","95.449973","10200","10175","68.268949","10210","10165","95.449974",,122.6,,,100,
"R_Date GrA-27847","10240","9965","68.268949","10245","9910","95.449973","10195","10170","68.268949","10205","10155","95.449974",,132.3,,,99.9,
"R_Date UtC-2743","10375","9775","68.268949","10570","9555","95.449973","10190","10160","68.268949","10200","10140","95.449974",,145.4,,,99.9,
"R_Date UtC-8392","10230","9965","68.268949","10235","9910","95.449974","10185","10150","68.268949","10195","10125","95.449974",,124.8,,,99.9,
"R_Date KIA-35773","10225","9960","68.268949","10235","9905","95.449973","10180","10140","68.268949","10190","10050","95.449973",,123,,,99.9,
"R_Date GrA-21032","10190","9915","68.26895","10220","9895","95.449974","10170","10125","68.268949","10185","10050","95.449974",,118,,,99.9,
"R_Date UtC-7118","10190","9915","68.26894899999999","10230","9795","95.449974","10165","10105","68.268949","10175","10035","95.449974",,113.2,,,99.9,
"R_Date GrN-25183","10190","9915","68.26895","10220","9895","95.449974","10160","10050","68.268949","10165","10015","95.449974",,101.3,,,99.9,
"R_Date UtC-9227","10175","9905","68.26894899999999","10205","9765","95.449974","10145","10045","68.26894899999999","10160","10000","95.449974",,114.9,,,99.8,
"R_Date NZA-11015","10190","9890","68.268949","10230","9695","95.449974","10130","10035","68.268949","10145","9975","95.449974",,121.3,,,99.8,
"R_Date IRPA-633","10190","9810","68.26894899999999","10235","9630","95.44997400000001","10115","10010","68.268949","10135","9955","95.449974",,122.4,,,99.8,
"R_Date RICH-23839","10145","9890","68.268948","10170","9765","95.449974","10105","9990","68.268949","10120","9935","95.449974",,114.7,,,99.8,
"R_Date RICH-23847","10145","9890","68.26895","10170","9770","95.449973","10090","9945","68.26894899999999","10110","9925","95.449974",,112.3,,,99.8,
"R_Date UtC-8391","10145","9785","68.268949","10170","9715","95.449974","10075","9930","68.26894899999999","10095","9905","95.449974",,109.7,,,99.7,
